,COMPLETENESS,,,,,,,GENERALIZATION,
,,,,,,,,,
,,Location 1,,,,,,Location 1,
,R1,R2,R3,,,,R1,R2,R3
Sketch_1,29.34,29.24,25.88,,,,6,6,7
Sketch_10,28.62,28.82,27.7,,,,12,12,13
Sketch_2,49.73,49.37,49.37,,,,10,11,12
Sketch_3,27.5,26.91,26.92,,,,9,10,10
Sketch_4,62.98,60.27,64.8,,,,7,8,7
Sketch_5,50.4,54.69,54.73,,,,11,12,12
Sketch_6,22.97,22.97,19.18,,,,5,5,6
Sketch_7,59.84,59.84,58.67,,,,11,11,11
Sketch_8,37.5,37.5,37.5,,,,14,14,14
Sketch_9,25.15,25.15,25.15,,,,8,8,8
,,,,,,,,,
,,,,,,,,,
,,Location 2,,,,,,Location 2,
,R1,R2,R3,,,,R1,R2,R3
Sketch_1,43.16,47.65,48.37,,,,16,17,17
Sketch_10,24.4,23.55,26.39,,,,13,15,15
Sketch_2,15.95,16.57,19.49,,,,11,12,14
Sketch_3,29.21,27.74,29.5,,,,13,13,14
Sketch_4,27.87,24.18,24.81,,,,14,13,12
Sketch_5,18,16.77,17.19,,,,9,7,7
Sketch_6,49.27,48.89,51.64,,,,13,15,14
Sketch_7,67.81,59.66,64.94,,,,12,14,13
Sketch_8,46.075,44.93,47.87,,,,13,13,13
Sketch_9,32.58,29.63,33.54,,,,10,11,11
,,,,,,,,,
,,,,,,,,,
,,Location 3,,,,,,Location 3,
,R1,R2,R3,,,,R1,R2,R3
Sketch_1,26.29,25.95,27.38,,,,3,2,4
Sketch_10,46.95,50.15,47.37,,,,7,10,10
Sketch_2,33.56,38.91,35.27,,,,5,6,8
Sketch_3,46.93,48.25,53.76,,,,6,5,8
Sketch_4,51.19,51.19,54.33,,,,4,4,8
Sketch_5,21.09,21.41,23,,,,3,2,5
Sketch_6,48.75,49.8,49.5,,,,5,5,8
Sketch_7,17.43,17.09,17.3,,,,1,1,2
Sketch_8,60.61,59.38,63.34,,,,3,3,6
Sketch_9,39.34,43.075,39.15,,,,5,8,7
,,,,,,,,,
,,,,,,,,,
,,Location 4,,,,,,Location 4,
,R1,R2,R3,,,,R1,R2,R3
Sketch_1,35.65,35.22,35.22,,,,9,8,8
Sketch_10,48.99,48.99,48.99,,,,13,13,13
Sketch_2,24.79,26.46,26.46,,,,5,5,5
Sketch_3,53.92,53.97,54.53,,,,12,14,13
Sketch_4,48.23,49.14,49.14,,,,13,12,12
Sketch_5,53.12,52.03,52.03,,,,9,9,9
Sketch_6,31.69,31.69,31.69,,,,8,8,8
Sketch_7,88.45,89.55,89.55,,,,10,10,10
Sketch_8,30,32.02,31.48,,,,7,8,8
Sketch_9,39.88,39.88,38.25,,,,11,11,11
,,,,,,,,,
,,,,,,,,,
,,Location 5,,,,,,Location 5,
,R1,R2,R3,,,,R1,R2,R3
Sketch_1,29.35,29.35,28.35,,,,11,11,11
Sketch_10,80.31,79.65,79.65,,,,8,7,7
Sketch_2,83.9,80,80.51,,,,10,9,9
Sketch_3,47.11,47.11,47.11,,,,7,7,7
Sketch_4,64.77,65.475,65.475,,,,11,11,11
Sketch_5,61.77,62.24,62.24,,,,9,9,9
Sketch_6,65.47,65.47,65.47,,,,11,11,11
Sketch_7,39.09,39.09,39.09,,,,9,9,9
Sketch_8,57.33,56.41,56.06,,,,11,11,10
Sketch_9,45.83,45.69,46.55,,,,9,11,11
